Team;From;To;W;L;T;W-L%
Arizona Cardinals;1920;2022;581;790;41;.424
Atlanta Falcons;1966;2022;383;493;6;.437
Baltimore Ravens;1996;2022;243;190;1;.561
Buffalo Bills;1960;2022;462;495;8;.483
Carolina Panthers;1995;2022;212;237;1;.472
Chicago Bears;1920;2022;786;624;42;.557
Cincinnati Bengals;1968;2022;385;463;5;.454
Cleveland Browns;1946;2022;548;528;14;.509
Dallas Cowboys;1960;2022;550;408;6;.574
Denver Broncos;1960;2022;500;456;10;.523
Detroit Lions;1930;2022;579;702;34;.452
Green Bay Packers;1921;2022;790;590;38;.572
Houston Texans;2002;2022;142;195;1;.422
Indianapolis Colts;1953;2022;547;493;8;.526
Jacksonville Jaguars;1995;2022;189;261;0;.420
Kansas City Chiefs;1960;2022;521;433;12;.546
Las Vegas Raiders;1960;2022;497;458;11;.520
Los Angeles Chargers;1960;2022;478;477;11;.501
Los Angeles Rams;1937;2022;604;592;21;.505
Miami Dolphins;1966;2022;485;393;4;.552
Minnesota Vikings;1961;2022;516;425;11;.548
New England Patriots;1960;2022;537;420;9;.561
New Orleans Saints;1967;2022;403;460;5;.467
New York Giants;1925;2022;715;638;34;.528
New York Jets;1960;2022;421;537;8;.440
Philadelphia Eagles;1933;2022;613;630;27;.493
Pittsburgh Steelers;1933;2022;661;571;22;.536
San Francisco 49ers;1946;2022;612;510;16;.545
Seattle Seahawks;1976;2022;383;358;1;.517
Tampa Bay Buccaneers;1976;2022;299;442;1;.404
Tennessee Titans;1960;2022;470;490;6;.490
Washington Commanders;1932;2022;625;630;29;.498
